"HolderAddress","Balance","PendingBalanceUpdate"
"0x024bab3928cbaf1980344f2b59af4b731ac3b5c1","7229.79666094128","No"
"0x03dbe28293adf4643d2be5f3c8397384b51bc612","1700","No"
"0x0699aa97868209c2c9fbd48214cc084e6e59117a","0.199801186335318","No"
"0x075ee4aff2dd95783c25d86892fbaaa57d8c0a4f","43.8235580745412","No"
"0x077e04afc5e3eb410aa008de215f7d0998019103","514.055523587716","No"
"0x08621435c75197b7ef045d7918ffcc3ab088404a","640.69661356267","No"
"0x0a27c9f6bfcecb56d249ca5792d2c081a591f37d","1173.3774560049","No"
"0x0dc437c879fada4ac7e5554b0f8f1ee78343c26b","6.53697944409852","No"
"0x0e401c81611424eccd0428f309bcd41ba3057112","0.00726627644298592","No"
"0x0f497a790429685a3cfd43b841865ee185378ff0","5000000","No"
"0x1070f9e5edd7d77a2817bd71512ec4ede358105b","100","No"
"0x169833ebb85fbd3cb67eec73ed02f738c0017951","7.73500662627602","No"
"0x16f6a4d352dcbc311fe4cdfdab879a416448e840","10","No"
"0x1760810fb5095865a3e6633510e0cb06d058686f","100","No"
"0x191d2a18bca84a5741c292b7744544f4e4d95ca0","5852","No"
"0x19c1167cfc5f1557e354358fe1c5f0573fb4b857","100","No"
"0x1d6f2f0356b3defadf14b1a0f8a3dcda89367d68","100","No"
"0x2205eacb52c2ddc1518881e06f4e8310056881ef","0.41378952734847","No"
"0x2253ffe59e967b70303fb94ab6f1f3421f4cca16","100","No"
"0x23d817fa0f3c9f77e45880dbe99eddfafb59142c","100","No"
"0x258aac3edee1d84e74c698309afadaf9cb31956b","0.316063394273846","No"
"0x25bdff8db8d80971935a7f38a0cf31dec62f7696","100","No"
"0x2626ff0c2a110704ed46f53f55bdec12a1d1b559","100","No"
"0x267ca3d8f225f44bda9e787aaeb483eed96af8ba","40.7379768513037","No"
"0x28288fa0696aacece303b20205165a75ad082a01","0.524683221791132","No"
"0x290653d9ba906b7844c3109c1a8eb793a56c4593","4087.1899549164","No"
"0x2a671f3934b937e6a950ba84dcc84f776fb910af","422","No"
"0x2a6f479e2f11ef7a2ad10137f52f5e768f50a241","100","No"
"0x2c9200b41d2af97868f6e458400640969f324afe","100","No"
"0x2dfbe4c7313dec4ecb8c853d924dfcc79be1cc9f","1920.92597920481","No"
"0x301605c95acbed7a1fd9c2c0deee964e2afbd0c3","100","No"
"0x31faca3aec82181b6beac31bf5c70af6b301332d","1E-18","No"
"0x32cfb464f64adcad77a449abbd9990d534228489","100","No"
"0x33404deec008c9ec3c8cdcd87765688e39c742dc","100","No"
"0x33d3f4db0f095246cc99cf9278bbe62316a41052","118.046521268565","No"
"0x347a98e6546d3c465a9fbad9c68c41a95e71230c","0.0402111005834089","No"
"0x34bef7d0186ab0b7b89c7627c9e951f2271d8afb","4.4963839315871","No"
"0x36d2179fe442d714acd2010641c3a3e93e62b297","0.358606113151691","No"
"0x38715ee2f1a3f9a798266214ff99dbc5d8d0c840","43500","No"
"0x39927fa311971dc49426b1b7771cbd932569d6d1","2028.01188084874","No"
"0x3c9ec8d6d6c051735674e8dd895781ddc4a92bdd","2252.77282911","No"
"0x3d2526d34d9d7ffa939a8afcf653dd50fa2561cd","100","No"
"0x3dd867e435adc58194644cb7dd82a0fb646df1e9","100","No"
"0x3e02ac054398e2c7886a4739ad3214163238872d","100","No"
"0x3e420d7b8c5af359127adea4cbe6ddd2a888ff07","9.45200292585246","No"
"0x3f3b05005bb35ce658c764f60bfb3810e5508941","100","No"
"0x41e3392e4194e921e19c1f23e4dc61f2bd85cc91","1.89602518088072","No"
"0x43d1eb966d0adfe9e5c0d3cff1223bed0823225c","0.141984602225441","No"
"0x4b097d42bf7f0629d7c5c2b005c85ff967c0dba4","229.30820393357","No"
"0x4f6976bee5233fa69375ef2ed3bc718492656af2","100","No"
"0x507cc427c8fba38b81e891549189e6718862af45","0.000170520573646375","No"
"0x546457bbddf5e09929399768ab5a9d588cb0334d","100","No"
"0x58978676150fd836817e9bde672f3f4ff41c2eef","8.24243619487195","No"
"0x5988d7f4dcdfeb0d6fdc3ec2d7aef1545bbd834e","0.630431830838903","No"
"0x59d34f32b8337df4fe069cb8a882f19954847444","77.5611887588141","No"
"0x59eee889d8056dfa5bb8023e81bee8ad9dc61086","100","No"
"0x5cf17d7ff8073c918669d4ec46800f9973802d59","68.5010370126282","No"
"0x5d58518c1902ed78c48d77ebe71feede67419438","3E-18","No"
"0x5fe85b455b32e5babf61e91f29fbaceb5dd167c6","2353.49266768283","No"
"0x624737e626b7ec57bbfee1a26a43db4ce54abe95","0.0401632080119484","No"
"0x62cfa295864cff683cde9b47d4bacc77b885ddb7","118851.977447146","No"
"0x6930168141351b602b87687fc1db8a1e6fc22dee","190.733749110113","No"
"0x6baa5710dafe757d78d7727dbc94365fcd6c5838","8.14628612405923","No"
"0x6deaf90739b82ac1975171f6bfd0d1bcdd2fe390","0.0563851267305289","No"
"0x6e4e4b8d7de9190d66be96ed746dd4c3a83ab51e","6677.35705595","No"
"0x74a3430b458fa40e50cddbc28cfdbf11177b7f5e","572.011163520701","No"
"0x751f556a157f8cb70d5f37086664b437f339d914","26.5257849222038","No"
"0x7a4113bc06a8b9fa457cbbc07f48eddddfc5473f","0.347929923359503","No"
"0x7a9e7a1fe90e483b4b60c569068912cbd9879d12","100","No"
"0x7b20e6d9f9427861f2a668d8531b98b38629abfd","100","No"
"0x83dd6329baacd57c78ce3287d4a434a05cb6d71f","100","No"
